id_consumicion;id_bar;id_cliente;fecha_hora
CONS-2012-0001;50;67;08/02/2012 0:55
CONS-2012-0002;3;89;08/02/2012 6:12
CONS-2012-0003;19;64;17/02/2012 20:50
CONS-2012-0004;24;58;04/03/2012 7:30
CONS-2012-0005;12;67;14/03/2012 2:19
CONS-2012-0006;16;11;05/04/2012 15:20
CONS-2012-0007;37;41;14/04/2012 12:52
CONS-2012-0008;42;91;18/05/2012 22:42
CONS-2012-0009;35;16;02/06/2012 1:39
CONS-2012-0010;35;59;05/06/2012 13:30
CONS-2012-0011;20;20;07/06/2012 10:25
CONS-2012-0012;39;88;10/07/2012 20:07
CONS-2012-0013;16;5;13/07/2012 18:48
CONS-2012-0014;22;43;07/08/2012 0:44
CONS-2012-0015;;43;08/08/2012 22:10
CONS-2012-0016;27;41;27/08/2012 6:36
CONS-2012-0017;2;70;09/09/2012 7:55
CONS-2012-0018;45;6;17/09/2012 5:42
CONS-2012-0019;10;83;04/10/2012 11:27
CONS-2012-0020;2;1;24/10/2012 12:46
CONS-2012-0021;14;46;24/10/2012 16:59
CONS-2012-0022;33;3;24/10/2012 18:29
CONS-2012-0023;42;;01/11/2012 2:50
CONS-2012-0024;38;40;06/11/2012 18:15
CONS-2012-0025;50;84;15/11/2012 2:18
CONS-2012-0026;21;72;26/12/2012 15:21
CONS-2013-0001;3;18;05/01/2013 20:44
CONS-2013-0002;36;80;20/01/2013 5:59
CONS-2013-0003;32;99;17/02/2013 1:20
CONS-2013-0004;;4;13/03/2013 2:39
CONS-2013-0005;14;;16/03/2013 10:05
CONS-2013-0006;38;74;16/03/2013 11:43
CONS-2013-0007;16;6;22/03/2013 14:33
CONS-2013-0008;15;95;29/03/2013 16:13
CONS-2013-0009;18;16;03/04/2013 2:04
CONS-2013-0010;29;14;09/04/2013 20:48
CONS-2013-0011;12;45;17/04/2013 11:05
CONS-2013-0012;36;78;10/05/2013 7:08
CONS-2013-0013;16;10;16/05/2013 8:35
CONS-2013-0014;23;100;03/06/2013 10:04
CONS-2013-0015;44;92;15/06/2013 23:14
CONS-2013-0016;38;20;01/07/2013 0:33
CONS-2013-0017;26;25;03/07/2013 19:49
CONS-2013-0018;6;34;06/07/2013 14:32
CONS-2013-0019;;23;09/07/2013 19:16
CONS-2013-0020;28;19;23/07/2013 1:09
CONS-2013-0021;5;30;31/07/2013 0:39
CONS-2013-0022;39;21;22/08/2013 4:22
CONS-2013-0023;8;3;08/09/2013 12:48
CONS-2013-0024;11;85;23/09/2013 7:03
CONS-2013-0025;47;53;02/10/2013 2:41
CONS-2013-0026;15;26;03/11/2013 12:26
CONS-2013-0027;18;91;12/11/2013 23:25
CONS-2013-0028;39;4;16/11/2013 21:42
CONS-2013-0029;6;86;02/12/2013 6:58
CONS-2013-0030;35;3;16/12/2013 16:17
CONS-2013-0031;10;62;24/12/2013 23:11
CONS-2014-0001;27;80;06/01/2014 3:23
CONS-2014-0002;25;18;15/01/2014 0:25
CONS-2014-0003;42;34;18/01/2014 9:25
CONS-2014-0004;1;28;20/01/2014 21:05
CONS-2014-0005;6;15;06/02/2014 9:11
CONS-2014-0006;39;51;06/02/2014 11:02
CONS-2014-0007;4;91;16/02/2014 12:05
CONS-2014-0008;;71;02/03/2014 7:53
CONS-2014-0009;49;45;12/03/2014 4:47
CONS-2014-0010;22;35;31/03/2014 8:14
CONS-2014-0011;38;69;03/04/2014 13:30
CONS-2014-0012;15;74;15/04/2014 10:31
CONS-2014-0013;50;59;25/04/2014 2:35
CONS-2014-0014;14;19;03/05/2014 5:51
CONS-2014-0015;13;41;04/05/2014 19:44
CONS-2014-0016;19;64;21/05/2014 0:12
CONS-2014-0017;10;11;07/06/2014 6:20
CONS-2014-0018;14;5;19/06/2014 7:51
CONS-2014-0019;27;43;04/07/2014 11:46
CONS-2014-0020;2;25;17/07/2014 17:23
CONS-2014-0021;32;10;24/07/2014 16:34
